Site Name,Country Code,Importance index for species above 1%,Combined Importance Index,Key species,Total waterbird,LC,NT,VU,EN,CR,Gaviidae,Podicipedidae,Pelecanidae,Phalacrocoracidae,Anhingidae,Ardeidae,Scopidae,Balaenicipitidae,Ciconiidae,Threskiornithidae,Phoenicopteridae,Anhimidae,Anatidae,Gruidae,Aramidae,Rallidae,Heliornithidae,Eurypygidae,Jacanidae,Rostratulidae,Dromadidae,Haematopodidae,Ibidorhynchidae,Recurvirostridae,Burhinidae,Glareolidae,Charadriidae,Scolopacidae,Pedionomidae,Thinocoridae,Laridae
"Guang-guang Mangrove Park and Nursery, Mati",PH,0,2.161653427,#N/A,3059,2174,238,360,287,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,1616,1268,0,0,40
"Hinactacan Ponds,  Jaro",PH,0,0.489542914,#N/A,287,257,7,9,14,0,0,0,0,0,0,57,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,34,0,0,68,59,0,0,19
Panabo Coastal Road,PH,0,1.120758531,#N/A,1630,448,1022,90,70,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,352,1119,0,0,58
"Dermaga Tambak, Desa Padengo",ID,0,0.01492537313,#N/A,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Dusun Mekar Indah, Desa Dudewulo",ID,0,0.003721088435,#N/A,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mangrove Pasar Kaluwatu,ID,0,0.001052631579,#N/A,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pasar Labuha,ID,0,0.3325127926,#N/A,220,217,3,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,43,11,0,0,0
Sawah Kampung Kuma,ID,0,0.001302631579,#N/A,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Sawah Kampung Laine,ID,0,0.0825611152,#N/A,11,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Sawah Laine,ID,0,0.004635406699,#N/A,7,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
